"","k","Phi","Measure","Mean","S.d."
"43","2","0.02","Sil",0.270038204705527,0.00883327562065754
"44","2","0.02","Error",0.672945907960084,0.00806446630197915
"45","2","0.03","ARI",0.527553401765754,0.0163988647978278
"46","2","0.03","NMI",0.491807464492735,0.0186671703400441
"47","2","0.03","Sil",0.268689129895413,0.0107621584679895
"48","2","0.03","Error",0.673764606736179,0.00677681932213495
"49","2","0.04","ARI",0.52675804184527,0.0161407159100402
"50","2","0.04","NMI",0.491164120257611,0.0187640214328469
"51","2","0.04","Sil",0.268287645264245,0.0104488255741995
"52","2","0.04","Error",0.672073807740374,0.00614012199127749
"53","3","0","ARI",0.990267636038002,0.0138358427121788
"54","3","0","NMI",0.986777249553273,0.0177168029026503
"55","3","0","Sil",0.443690495734435,0.00720255742838069
"56","3","0","Error",0.583898110352231,0.0210547605918011
"57","3","0.002","ARI",0.981724965020547,0.0412119289076207
"58","3","0.002","NMI",0.980566451214633,0.0384558221200714
"59","3","0.002","Sil",0.438247458654406,0.0243681279581697
"60","3","0.002","Error",0.584178900176795,0.0173737393004757
"61","3","0.004","ARI",0.973701162853738,0.0426377945221
"62","3","0.004","NMI",0.970849198922824,0.0425426155084377
"63","3","0.004","Sil",0.434521769032487,0.0239405896944646
"64","3","0.004","Error",0.590891992519008,0.0231023089438826
"65","3","0.006","ARI",0.979141675887239,0.0395729906901133
"66","3","0.006","NMI",0.975511523110157,0.0423958597577844
"67","3","0.006","Sil",0.436910873363236,0.0248757804251241
"68","3","0.006","Error",0.592764983830315,0.025863086366515
"69","3","0.008","ARI",0.952884051323597,0.0793159315091154
"70","3","0.008","NMI",0.952467425945754,0.0766673136511283
"71","3","0.008","Sil",0.421873547304505,0.045266900948743
"72","3","0.008","Error",0.597333351104494,0.0398034871173988
"73","3","0.01","ARI",0.984211618140068,0.0228872243884855
"74","3","0.01","NMI",0.980138274429462,0.0274604545991997
"75","3","0.01","Sil",0.440631793601374,0.0122865539976729
"76","3","0.01","Error",0.594621085992323,0.0252654042338094
"77","3","0.012","ARI",0.960074734096513,0.0627749373635424
"78","3","0.012","NMI",0.959058516618348,0.0564457070394781
"79","3","0.012","Sil",0.426669401738305,0.0369588759828445
"80","3","0.012","Error",0.60159013708182,0.0243978428945405
"81","3","0.014","ARI",0.972975003599678,0.0700836850600913
"82","3","0.014","NMI",0.971760524798888,0.0681563387823982
"83","3","0.014","Sil",0.433634490287554,0.0384890730831284
"84","3","0.014","Error",0.5923669222332,0.0317434521779
"85","3","0.016","ARI",0.964661792989052,0.0716363313351376
"86","3","0.016","NMI",0.961678968168487,0.0681288568331396
"87","3","0.016","Sil",0.429301741555937,0.0404476744219838
"88","3","0.016","Error",0.599667499933323,0.0260526272005677
"89","3","0.018","ARI",0.972341119351585,0.0528199255084639
"90","3","0.018","NMI",0.96942648765329,0.0503234369571514
"91","3","0.018","Sil",0.432420119224841,0.0330610957568426
"92","3","0.018","Error",0.597838423915658,0.0282232808834582
"93","3","0.02","ARI",0.948721791988267,0.0662372317096944
"94","3","0.02","NMI",0.945329491932598,0.0640415449026328
"95","3","0.02","Sil",0.416605933229252,0.0435454764990597
"96","3","0.02","Error",0.59989234932046,0.0258923000463124
"97","3","0.03","ARI",0.964373404980992,0.0822284546466425
"98","3","0.03","NMI",0.961260886286673,0.0811713471489625
"99","3","0.03","Sil",0.429448285442057,0.0448333774577676
"100","3","0.03","Error",0.629782577183564,0.148546324963748
"101","3","0.04","ARI",0.965697960526004,0.0485635915747828
"102","3","0.04","NMI",0.961076683495507,0.050553841731953
"103","3","0.04","Sil",0.429835671504833,0.0280550768580483
"104","3","0.04","Error",0.59673788787227,0.022980834792811
"105","4","0","ARI",0.775008911117776,0.0435267492081049
"106","4","0","NMI",0.754170860650087,0.0336612423185443
"107","4","0","Sil",0.234267963670569,0.0200451170751869
"108","4","0","Error",0.626279876739671,0.0279753019708582
"109","4","0.002","ARI",0.619888789151525,0.128339005255803
"110","4","0.002","NMI",0.649475254654165,0.0854035252485248
"111","4","0.002","Sil",0.167513287295703,0.0578281381325043
"112","4","0.002","Error",0.615234459852796,0.0318844154295648
"113","4","0.004","ARI",0.729342455961051,0.118155323152849
"114","4","0.004","NMI",0.72113698715174,0.0854689222028714
"115","4","0.004","Sil",0.219777147391357,0.0533799133174953
"116","4","0.004","Error",0.613655829053399,0.0291303156237158
"117","4","0.006","ARI",0.696109782872435,0.135315430285638
"118","4","0.006","NMI",0.701362757148095,0.0917284476643387
"119","4","0.006","Sil",0.202126681178431,0.0606212380643776
"120","4","0.006","Error",0.618417223974247,0.0318819343041364
"121","4","0.008","ARI",0.68201902040622,0.12897977011394
"122","4","0.008","NMI",0.694564026207564,0.0922373379419051
"123","4","0.008","Sil",0.192282537123238,0.053945392035954
"124","4","0.008","Error",0.602614671455514,0.0292494362542851
"125","4","0.01","ARI",0.681144639269089,0.143305105777523
"126","4","0.01","NMI",0.694636204805614,0.108709244687042
"127","4","0.01","Sil",0.192970715290213,0.0688111360467347
"128","4","0.01","Error",0.605885978350897,0.0248038897338736
