"","Method","Choice","Measure","Mean","S.d."
"108","220","Overall","Restrictions",1,0
"109","240","Overall","CSR",0.662714285714285,0.0813680661096476
"110","240","Overall","Rel",0.887033353833472,0.065530198921463
"111","240","Overall","Rec",0.383235358081553,0.064435516313717
"112","240","Overall","F_score",0.524398850276711,0.0624620140399707
"113","240","Overall","BiS",0.436669245748812,0.0215411881751281
"114","240","Overall","Restrictions",1,0
"115","260","Overall","CSR",0.658071428571428,0.096994640186488
"116","260","Overall","Rel",0.877785070250177,0.0721214259073584
"117","260","Overall","Rec",0.376822451623979,0.0771197039389146
"118","260","Overall","F_score",0.517595388816294,0.0824177834782236
"119","260","Overall","BiS",0.428757948509768,0.0329226734654589
"120","260","Overall","Restrictions",1,0
"121","280","Overall","CSR",0.647857142857143,0.0777153200497107
"122","280","Overall","Rel",0.895609718523667,0.0358149181672493
"123","280","Overall","Rec",0.373403493255026,0.0732646827282284
"124","280","Overall","F_score",0.517702938860204,0.07471956790455
"125","280","Overall","BiS",0.435362654233463,0.0237976726669728
"126","280","Overall","Restrictions",1,0
"127","300","Overall","CSR",0.655357142857143,0.0751793981035273
"128","300","Overall","Rel",0.893741457128821,0.038234106160541
"129","300","Overall","Rec",0.379698208204798,0.0668259438229387
"130","300","Overall","F_score",0.52355855571225,0.0669766121567828
"131","300","Overall","BiS",0.434742946287545,0.0286363922992902
"132","300","Overall","Restrictions",1,0
"133","320","Overall","CSR",0.670714285714285,0.0747374970216282
"134","320","Overall","Rel",0.886813687792655,0.0470477966989515
"135","320","Overall","Rec",0.391209472986683,0.0561385867964016
"136","320","Overall","F_score",0.534669311641863,0.0561820107913928
"137","320","Overall","BiS",0.429985517271699,0.0267325959286325
"138","320","Overall","Restrictions",1,0
"139","340","Overall","CSR",0.656428571428571,0.0620228558857799
"140","340","Overall","Rel",0.885141448773497,0.0320256556451669
"141","340","Overall","Rec",0.379690976076709,0.0640478935339676
"142","340","Overall","F_score",0.523013931588564,0.0679550110805052
"143","340","Overall","BiS",0.434880714397104,0.0190206752673931
"144","340","Overall","Restrictions",1,0
"145","360","Overall","CSR",0.647857142857143,0.0746399102463465
"146","360","Overall","Rel",0.90113297757331,0.0466742911442236
"147","360","Overall","Rec",0.376669989317699,0.0700413630070005
"148","360","Overall","F_score",0.521923305371415,0.0718446738765544
"149","360","Overall","BiS",0.441135324393157,0.0254491435366089
"150","360","Overall","Restrictions",1,0
"151","380","Overall","CSR",0.641428571428571,0.0732138412842942
"152","380","Overall","Rel",0.894241522136352,0.0403704306232053
"153","380","Overall","Rec",0.36686021963917,0.0727118954343477
"154","380","Overall","F_score",0.510541189892833,0.0761594679612584
"155","380","Overall","BiS",0.438062284691552,0.0228448265661281
"156","380","Overall","Restrictions",1,0
"157","400","Overall","CSR",0.658571428571428,0.0657985263067489
"158","400","Overall","Rel",0.901423000961431,0.0369857449157705
"159","400","Overall","Rec",0.387728996765692,0.0617946661642888
"160","400","Overall","F_score",0.533757479370862,0.0630013174528388
"161","400","Overall","BiS",0.435881771597971,0.0268075815650557
"162","400","Overall","Restrictions",1,0
"163","420","Overall","CSR",0.654285714285714,0.0655130649766306
"164","420","Overall","Rel",0.90065261477151,0.0346206038019874
"165","420","Overall","Rec",0.382152412066331,0.0632658732310784
"166","420","Overall","F_score",0.527712044809522,0.0649949568269096
"167","420","Overall","BiS",0.440373991135242,0.0194016466689505
"168","420","Overall","Restrictions",1,0
"169","440","Overall","CSR",0.665,0.0724741261331737
"170","440","Overall","Rel",0.893970264922612,0.0350088743440599
"171","440","Overall","Rec",0.392251375813722,0.0692587824402272
"172","440","Overall","F_score",0.537593542809309,0.0711675553448381
"173","440","Overall","BiS",0.439949845435782,0.0203317614409871
"174","440","Overall","Restrictions",1,0
"175","460","Overall","CSR",0.669285714285714,0.0576372562768246
"176","460","Overall","Rel",0.880558121651213,0.0287044736318273
"177","460","Overall","Rec",0.391546050882421,0.0599101536427733
"178","460","Overall","F_score",0.535047716545709,0.0638440806458781
"179","460","Overall","BiS",0.433122716485406,0.0208874844569966
"180","460","Overall","Restrictions",1,0
"181","480","Overall","CSR",0.652142857142857,0.0687584003424985
"182","480","Overall","Rel",0.891590706710969,0.0430228133378544
"183","480","Overall","Rec",0.378016891166596,0.0657223425233717
"184","480","Overall","F_score",0.52209090611413,0.0679730213675839
"185","480","Overall","BiS",0.439089501786203,0.0216922615869355
"186","480","Overall","Restrictions",1,0
"187","500","Overall","CSR",0.660714285714285,0.0658341219416527
"188","500","Overall","Rel",0.889855681677658,0.0361539044183412
"189","500","Overall","Rec",0.386189029258969,0.0636014636524368
"190","500","Overall","F_score",0.53057893569567,0.0658881403110424
"191","500","Overall","BiS",0.436939799458058,0.0195707443824379
"192","500","Overall","Restrictions",1,0
