"","k","Phi","Measure","Mean","S.d."
"46","2","0.03","NMI",0.313487236221431,0.0563010383461373
"47","2","0.03","Sil",0.117375275174661,0.0313827137522422
"48","2","0.03","Error",0.831198547124811,0.0319495798678793
"49","2","0.04","ARI",0.328515154150732,0.0751340821569514
"50","2","0.04","NMI",0.312945507741935,0.0568138281691544
"51","2","0.04","Sil",0.118716200448523,0.0310189907892319
"52","2","0.04","Error",0.827003717682303,0.0228281950648782
"53","3","0","ARI",0.5525685647818,0.107864082294853
"54","3","0","NMI",0.550129656009641,0.0952860578148804
"55","3","0","Sil",0.147457992230116,0.0390319044917334
"56","3","0","Error",0.80588240750538,0.0325225137933024
"57","3","0.002","ARI",0.538587913071473,0.0896806892221811
"58","3","0.002","NMI",0.542024303627133,0.0821681561463745
"59","3","0.002","Sil",0.140936581831018,0.0334755504187461
"60","3","0.002","Error",0.82186744354963,0.0378870737922263
"61","3","0.004","ARI",0.529567103039788,0.107227344987074
"62","3","0.004","NMI",0.532675388137393,0.098315642236163
"63","3","0.004","Sil",0.136529593563311,0.0371878542148817
"64","3","0.004","Error",0.812730520485086,0.0350139244837324
"65","3","0.006","ARI",0.533001031424389,0.0981977568264197
"66","3","0.006","NMI",0.533728215541922,0.0897112358814465
"67","3","0.006","Sil",0.140766174008272,0.03801728403103
"68","3","0.006","Error",0.820440888962981,0.0329315583535618
"69","3","0.008","ARI",0.520452041106168,0.0942134236905617
"70","3","0.008","NMI",0.524163063645682,0.0826203131069876
"71","3","0.008","Sil",0.133689613970029,0.0340333711330967
"72","3","0.008","Error",0.826558010412737,0.0406914889399028
"73","3","0.01","ARI",0.514516020072067,0.0912032833689716
"74","3","0.01","NMI",0.511501377656304,0.0864647298706463
"75","3","0.01","Sil",0.131252595373605,0.033147334344919
"76","3","0.01","Error",0.81477573133011,0.0292141814702548
"77","3","0.012","ARI",0.491949713089491,0.129572437639053
"78","3","0.012","NMI",0.500034439491197,0.117071340477677
"79","3","0.012","Sil",0.12382087804908,0.0470734843801967
"80","3","0.012","Error",0.821538721625623,0.0384454517510537
"81","3","0.014","ARI",0.50895685189461,0.122469235262462
"82","3","0.014","NMI",0.507400347093614,0.110611235859737
"83","3","0.014","Sil",0.130284699877161,0.045067351856586
"84","3","0.014","Error",0.81562406436064,0.034728910668389
"85","3","0.016","ARI",0.514117282203837,0.116038999798672
"86","3","0.016","NMI",0.516364475000022,0.100690939993992
"87","3","0.016","Sil",0.130934589286118,0.0441783393304827
"88","3","0.016","Error",0.827907814978546,0.0319836739780229
"89","3","0.018","ARI",0.519018951976147,0.129122928989047
"90","3","0.018","NMI",0.518530063708953,0.112634509606437
"91","3","0.018","Sil",0.133577382888336,0.047030302788437
"92","3","0.018","Error",0.81123750320396,0.0316589651264615
"93","3","0.02","ARI",0.413942456819358,0.0969938072697659
"94","3","0.02","NMI",0.42604774161001,0.0836614893538685
"95","3","0.02","Sil",0.0945438835563227,0.0347240745998806
"96","3","0.02","Error",0.826384185859355,0.0277622401748045
"97","3","0.03","ARI",0.436687694595013,0.12920768766501
"98","3","0.03","NMI",0.453190198523739,0.115794036826745
"99","3","0.03","Sil",0.103861582239121,0.0448373916393623
"100","3","0.03","Error",0.831951220068983,0.0471552592789171
"101","3","0.04","ARI",0.422273172810219,0.156326470973055
"102","3","0.04","NMI",0.442935360513218,0.136736517905585
"103","3","0.04","Sil",0.101040649370064,0.0563890070867579
"104","3","0.04","Error",0.81764245595507,0.0362608669930293
"105","4","0","ARI",0.722320500732641,0.126235057460715
"106","4","0","NMI",0.736165751464362,0.109596375545875
"107","4","0","Sil",0.180444359476007,0.0445144046592134
"108","4","0","Error",0.808884765999662,0.0250061252883912
"109","4","0.002","ARI",0.702369638397361,0.160197156789499
"110","4","0.002","NMI",0.719318856109878,0.143388901585142
"111","4","0.002","Sil",0.17309208986997,0.0583725025137929
"112","4","0.002","Error",0.820560529746072,0.035259571952353
"113","4","0.004","ARI",0.685976665318775,0.150432380780046
"114","4","0.004","NMI",0.701785992294938,0.132514606460834
"115","4","0.004","Sil",0.167649922574943,0.0554977144781749
"116","4","0.004","Error",0.829065331702212,0.03652119813259
"117","4","0.006","ARI",0.559521446930695,0.208665921030037
"118","4","0.006","NMI",0.592005106329579,0.182034125488218
"119","4","0.006","Sil",0.121105453420207,0.0753280299595878
"120","4","0.006","Error",0.82362007242147,0.0265946419644469
"121","4","0.008","ARI",0.592194759343185,0.197719171809372
"122","4","0.008","NMI",0.621711455838747,0.170864852779314
"123","4","0.008","Sil",0.132858624450159,0.0727738830678093
"124","4","0.008","Error",0.825130363599377,0.0325141263406302
"125","4","0.01","ARI",0.52912960023786,0.205594873931668
"126","4","0.01","NMI",0.576072774178946,0.176659104605394
"127","4","0.01","Sil",0.110302959531823,0.0761020053894587
"128","4","0.01","Error",0.815959181694464,0.0267908078281032
"129","4","0.012","ARI",0.479465151470825,0.172544049960984
"130","4","0.012","NMI",0.529450801080733,0.157679140635733
"131","4","0.012","Sil",0.0918380369332882,0.0612054311853181
"132","4","0.012","Error",0.834359596762513,0.0377152463954007
"133","4","0.014","ARI",0.533400645663079,0.187968132236134
"134","4","0.014","NMI",0.576000431807674,0.164614767934533
"135","4","0.014","Sil",0.110517913588429,0.0692619593151308
"136","4","0.014","Error",0.817018187163029,0.0325359174983388
"137","4","0.016","ARI",0.463085729085945,0.151868022272799
"138","4","0.016","NMI",0.521937557715557,0.126620422247059
"139","4","0.016","Sil",0.0855841466846524,0.0544364659607011
"140","4","0.016","Error",0.819413729646657,0.0293893474079606
"141","4","0.018","ARI",0.512216003051015,0.203708993952162
"142","4","0.018","NMI",0.560936897760555,0.172194336460488
"143","4","0.018","Sil",0.105315572304255,0.0709717173220933
"144","4","0.018","Error",0.815308386764279,0.0429228441558956
"145","4","0.02","ARI",0.434983633059207,0.214723559188119
"146","4","0.02","NMI",0.488004572455728,0.1940841594326
"147","4","0.02","Sil",0.0768558946688774,0.0765324539453488
"148","4","0.02","Error",0.813819601013652,0.0393556183685195
"149","4","0.03","ARI",0.445659163377956,0.152170676937894
"150","4","0.03","NMI",0.490607164796439,0.133842609864877
"151","4","0.03","Sil",0.0773214793349919,0.0509067201354022
"152","4","0.03","Error",0.835788837966115,0.0407236741724978
"153","4","0.04","ARI",0.379100651300182,0.1090135398606
"154","4","0.04","NMI",0.442032217259074,0.101648300580325
"155","4","0.04","Sil",0.0550509642489894,0.0360203592204862
"156","4","0.04","Error",0.835072378766793,0.0338891216228105
"157","5","0","ARI",0.681620822162118,0.0976707593783875
"158","5","0","NMI",0.678240016872112,0.0740709811302126
"159","5","0","Sil",0.130939432297068,0.0325972881364989
"160","5","0","Error",0.812919557951385,0.0285622208808166
"161","5","0.002","ARI",0.573794430131238,0.177913262915087
"162","5","0.002","NMI",0.607140077042633,0.131601515957816
"163","5","0.002","Sil",0.0986629606484986,0.0570189805251998
"164","5","0.002","Error",0.817211889412805,0.0295879935478226
"165","5","0.004","ARI",0.491109721812231,0.150195131275751
"166","5","0.004","NMI",0.54709814433941,0.115670988537537
"167","5","0.004","Sil",0.0725118670024093,0.0507756789330122
"168","5","0.004","Error",0.815629073642741,0.0301945861647604
"169","5","0.006","ARI",0.464487429209251,0.143710871209905
"170","5","0.006","NMI",0.526354490186242,0.123529710197973
"171","5","0.006","Sil",0.0591894277876664,0.0495558300071743
"172","5","0.006","Error",0.824210693924272,0.0285681468260758
"173","5","0.008","ARI",0.424688706951668,0.10841428431379
"174","5","0.008","NMI",0.476590150100516,0.100461208988116
"175","5","0.008","Sil",0.0455849801915106,0.0353362606764059
"176","5","0.008","Error",0.825501611456126,0.0298453084907973
"177","5","0.01","ARI",0.4445870519768,0.146247972030949
"178","5","0.01","NMI",0.497735358568118,0.128880895687129
"179","5","0.01","Sil",0.0503879777716923,0.0446518829596634
"180","5","0.01","Error",0.833109443018928,0.0334335855253712
"181","5","0.012","ARI",0.375609275544224,0.0984916939918645
"182","5","0.012","NMI",0.445114257333526,0.0931945588792614
"183","5","0.012","Sil",0.0277986143899823,0.0319061740339025
"184","5","0.012","Error",0.822638629845333,0.0316327473976201
"185","5","0.014","ARI",0.413817391122656,0.12228569631079
"186","5","0.014","NMI",0.474401652590879,0.110595473369353
"187","5","0.014","Sil",0.0425992280134137,0.0396952846965433
"188","5","0.014","Error",0.817169319545341,0.0468516008727263
"189","5","0.016","ARI",0.373928836922438,0.126851034138029
"190","5","0.016","NMI",0.437105581303068,0.122422708486208
"191","5","0.016","Sil",0.0272621566833582,0.0419680596123513
"192","5","0.016","Error",0.816886355861584,0.0318928374542472
"193","5","0.018","ARI",0.356123070173138,0.0909049488980521
"194","5","0.018","NMI",0.422185551916708,0.0783642908970161
"195","5","0.018","Sil",0.0216706801963551,0.0274483470868762
"196","5","0.018","Error",0.816617225157579,0.0292551835337242
"197","5","0.02","ARI",0.404702811375756,0.108010191709424
"198","5","0.02","NMI",0.466385933648552,0.105772672055609
"199","5","0.02","Sil",0.0402261284535577,0.0339925616776152
"200","5","0.02","Error",0.831945468849753,0.0825614574053743
"201","5","0.03","ARI",0.381761512355168,0.114319283221025
"202","5","0.03","NMI",0.436054413190189,0.10978859943635
"203","5","0.03","Sil",0.0319464047127545,0.0356770583537514
"204","5","0.03","Error",0.826715867171522,0.0378941595555817
"205","5","0.04","ARI",0.363569498129524,0.101298784016474
"206","5","0.04","NMI",0.418330183627667,0.0912661052401296
"207","5","0.04","Sil",0.0213068989617719,0.032735561839932
"208","5","0.04","Error",0.820841903292851,0.0350390677232737
"209","6","0","ARI",0.554605284375908,0.0736547776128846
"210","6","0","NMI",0.567497965834662,0.0530827788204447
"211","6","0","Sil",0.0697090206031788,0.0273064025664881
"212","6","0","Error",0.81536971169861,0.0300247927815151
"213","6","0.002","ARI",0.420286530254674,0.0845060066715962
"214","6","0.002","NMI",0.479065279423472,0.0658402207028155
"215","6","0.002","Sil",0.0199554669780452,0.030031333210333
"216","6","0.002","Error",0.830873500658169,0.0337069110086885
"217","6","0.004","ARI",0.358249585177709,0.0982617304954877
"218","6","0.004","NMI",0.424489085719736,0.0947352862613388
"219","6","0.004","Sil",-0.00823891941407445,0.0291112014885648
"220","6","0.004","Error",0.831556063673035,0.0307103451738465
"221","6","0.006","ARI",0.36829890774302,0.106537965002437
"222","6","0.006","NMI",0.416767941527304,0.0922948290132165
"223","6","0.006","Sil",-0.00582264111047922,0.0355839854864818
