"","Method","Choice","Measure","Mean","S.d."
"105","220","Overall","Rec",0.18457018755175,0.129094656869376
"106","220","Overall","F_score",0.248060700288317,0.165760274869467
"107","220","Overall","BiS",0.311520873036861,0.0717345427348842
"108","220","Overall","Restrictions",1,0
"109","240","Overall","CSR",0.663038961038961,0.245098564409549
"110","240","Overall","Rel",0.377862583697516,0.283562468227984
"111","240","Overall","Rec",0.168383119294391,0.130347833509488
"112","240","Overall","F_score",0.227331790506145,0.1688748759369
"113","240","Overall","BiS",0.289332237927591,0.106887307871627
"114","240","Overall","Restrictions",1,0
"115","260","Overall","CSR",0.685038961038961,0.185481790089458
"116","260","Overall","Rel",0.45596563725883,0.257336593111664
"117","260","Overall","Rec",0.193405265872638,0.121787386868575
"118","260","Overall","F_score",0.264454880407463,0.154087966505965
"119","260","Overall","BiS",0.323832318941425,0.0807718868593051
"120","260","Overall","Restrictions",1,0
"121","280","Overall","CSR",0.613038961038961,0.198175689663367
"122","280","Overall","Rel",0.322272298514605,0.250833198059655
"123","280","Overall","Rec",0.146735099112781,0.124223766266291
"124","280","Overall","F_score",0.196192993854288,0.155729942541886
"125","280","Overall","BiS",0.267290221139184,0.0960584058556836
"126","280","Overall","Restrictions",1,0
"127","300","Overall","CSR",0.59500974025974,0.196516332471318
"128","300","Overall","Rel",0.358725139508417,0.275832528745565
"129","300","Overall","Rec",0.150424736939454,0.121969813042022
"130","300","Overall","F_score",0.207010307078347,0.15996671203545
"131","300","Overall","BiS",0.274390300844685,0.103789842943884
"132","300","Overall","Restrictions",1,0
"133","320","Overall","CSR",0.533899350649351,0.182027499070667
"134","320","Overall","Rel",0.25586963998713,0.218693071008605
"135","320","Overall","Rec",0.113911307145726,0.10068270332276
"136","320","Overall","F_score",0.15285822619649,0.130852610256167
"137","320","Overall","BiS",0.231559542841589,0.116062679444935
"138","320","Overall","Restrictions",1,0
"139","340","Overall","CSR",0.52461038961039,0.178337623726044
"140","340","Overall","Rel",0.234282503333612,0.228067767946057
"141","340","Overall","Rec",0.0987780963832162,0.0952856314334175
"142","340","Overall","F_score",0.13551302343813,0.128045862420267
"143","340","Overall","BiS",0.227250870541464,0.105362701443197
"144","340","Overall","Restrictions",1,0
"145","360","Overall","CSR",0.541503246753247,0.162136562460839
"146","360","Overall","Rel",0.252981004523515,0.185433947371317
"147","360","Overall","Rec",0.101914654996636,0.0758969105712016
"148","360","Overall","F_score",0.142071086265902,0.103118663924585
"149","360","Overall","BiS",0.24948736295682,0.10020546567064
"150","360","Overall","Restrictions",1,0
"151","380","Overall","CSR",0.559357142857143,0.195261094547101
"152","380","Overall","Rel",0.208498388154922,0.237085175727949
"153","380","Overall","Rec",0.0842310031117269,0.0917615889519016
"154","380","Overall","F_score",0.11597598082625,0.124802780508088
"155","380","Overall","BiS",0.265546328301033,0.107797320654434
"156","380","Overall","Restrictions",1,0
"157","400","Overall","CSR",0.4605,0.169757955430381
"158","400","Overall","Rel",0.110330111363923,0.185572673343177
"159","400","Overall","Rec",0.0370286338780268,0.0618989472478546
"160","400","Overall","F_score",0.0546693119999855,0.0910473734993221
"161","400","Overall","BiS",0.214937515880298,0.0966709456497227
"162","400","Overall","Restrictions",1,0
"163","420","Overall","CSR",0.537392857142857,0.163023341906144
"164","420","Overall","Rel",0.0916172983209969,0.159255212363126
"165","420","Overall","Rec",0.0382475008587585,0.0664323682302336
"166","420","Overall","F_score",0.0525010948945997,0.0898320045779882
"167","420","Overall","BiS",0.250498554336257,0.0975288434617046
"168","420","Overall","Restrictions",1,0
"169","440","Overall","CSR",0.514357142857143,0.153357264730316
"170","440","Overall","Rel",0.0424923667448605,0.120381395003788
"171","440","Overall","Rec",0.01507639388343,0.0413311519458818
"172","440","Overall","F_score",0.0218927247701915,0.0600224757150738
"173","440","Overall","BiS",0.252332500777801,0.094333662969401
"174","440","Overall","Restrictions",1,0
"175","460","Overall","CSR",0.494857142857143,0.157768038121038
"176","460","Overall","Rel",0.0126731688384932,0.0741421182937625
"177","460","Overall","Rec",0.00518555411243896,0.0323101935003189
"178","460","Overall","F_score",0.00729147040721113,0.0448513028116458
"179","460","Overall","BiS",0.255998192135291,0.0798113331507353
"180","460","Overall","Restrictions",1,0
"181","480","Overall","CSR",0.523928571428571,0.15395698769724
"182","480","Overall","Rel",0.00483828911205364,0.0327165323776277
"183","480","Overall","Rec",0.00238473739719013,0.0163599225070352
"184","480","Overall","F_score",0.00318712062035066,0.021812694035649
"185","480","Overall","BiS",0.273781443569826,0.0869460768944432
"186","480","Overall","Restrictions",1,0
"187","500","Overall","CSR",0.485571428571428,0.143151955274953
"188","500","Overall","Rel",8e-05,0.000565685424949238
"189","500","Overall","Rec",2e-05,0.00014142135623731
"190","500","Overall","F_score",3.2e-05,0.000226274169979695
"191","500","Overall","BiS",0.254580589978972,0.0931803452320733
"192","500","Overall","Restrictions",1,0
